Temperature (deg C),Storage Modulus (MPa),Loss Modulus (MPpa),Tan Delta
58.774,1.4746,0.70665,0.47891
59.096,1.4335,0.68727,0.47899
59.317,1.4055,0.67448,0.47971
59.489,1.3834,0.66528,0.48121
59.898,1.3402,0.64258,0.47955
60.05,1.3242,0.63428,0.47933
60.438,1.2887,0.61985,0.48134
60.631,1.2693,0.60522,0.47672
60.932,1.242,0.59096,0.47587
61.139,1.2253,0.58382,0.47649
61.583,1.1879,0.56812,0.47827
62.044,1.1534,0.55178,0.47831
61.901,1.1638,0.55622,0.47774
62.659,1.1105,0.53024,0.4776
62.717,1.1063,0.52878,0.47811
63.133,1.0768,0.51475,0.47807
63.372,1.06,0.50364,0.47499
63.607,1.0396,0.4916,0.473
63.877,1.0199,0.48185,0.47233
64.112,1.0011,0.47256,0.47172
64.307,0.98635,0.46733,0.47333
64.582,0.96647,0.45731,0.47256
64.772,0.95253,0.44807,0.47001
65.077,0.93037,0.4368,0.46913
65.266,0.91834,0.42994,0.46793
65.496,0.90446,0.42438,0.46874
66.798,0.81546,0.37741,0.46295
66.958,0.80333,0.37197,0.46309
67.32,0.78405,0.36248,0.46219
67.471,0.77683,0.35803,0.46062
67.747,0.7637,0.35064,0.45876
68.002,0.75191,0.34468,0.45808
68.362,0.73218,0.33332,0.4547
68.492,0.72579,0.32989,0.45404
68.896,0.71008,0.32027,0.4506
68.986,0.70703,0.31776,0.44902
69.292,0.69318,0.31048,0.44761
69.691,0.67698,0.30181,0.44547
69.754,0.67416,0.30067,0.44568
70.332,0.65387,0.2873,0.43917
70.431,0.6486,0.28508,0.43937
70.803,0.6343,0.27851,0.43868
70.89,0.63089,0.27691,0.43852
71.296,0.6165,0.26783,0.43435
71.462,0.61155,0.2649,0.43292
71.733,0.60259,0.25894,0.42912
72.145,0.58882,0.24952,0.42285
72.182,0.58781,0.24903,0.42275
72.806,0.57172,0.24196,0.42258
73.396,0.55715,0.23123,0.4145
73.819,0.5444,0.22566,0.41443
73.947,0.54098,0.22421,0.41436
75.027,0.51689,0.2146,0.41552
75.167,0.5144,0.21379,0.41583
75.49,0.50702,0.21219,0.41854
76.223,0.48892,0.20475,0.41888
76.347,0.48587,0.2026,0.41693
76.751,0.47546,0.19875,0.41759
77.275,0.46857,0.19614,0.41824
77.995,0.45569,0.1859,0.40778
78.475,0.44539,0.18189,0.40782
78.689,0.44138,0.18039,0.4079
79.004,0.43599,0.17471,0.40015
79.141,0.43386,0.17272,0.39758
79.536,0.42863,0.16926,0.39438
79.787,0.42536,0.16764,0.39349
